species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Algyroides marchi;3.51;NA;Reptilia;Endangered;EN;threatened
Chalcides simonyi;43.68;NA;Reptilia;Endangered;EN;threatened
Darevskia bendimahiensis;6.12;NA;Reptilia;Endangered;EN;threatened
Darevskia clarkorum;8.42;NA;Reptilia;Endangered;EN;threatened
Darevskia uzzelli;7.01;NA;Reptilia;Endangered;EN;threatened
Iberolacerta aranica;6.97;NA;Reptilia;Endangered;EN;threatened
Iberolacerta aurelioi;6.48;NA;Reptilia;Endangered;EN;threatened
Iberolacerta cyreni;17.30;NA;Reptilia;Endangered;EN;threatened
Macrovipera schweizeri;634.61;NA;Reptilia;Endangered;EN;threatened
Montivipera albizona;252.93;NA;Reptilia;Endangered;EN;threatened
Podarcis carbonelli;6.41;NA;Reptilia;Endangered;EN;threatened
Podarcis lilfordi;12.27;NA;Reptilia;Endangered;EN;threatened
Rafetus euphraticus;24993.30;NA;Reptilia;Endangered;EN;threatened
Vipera kaznakovi;184.60;NA;Reptilia;Endangered;EN;threatened
Darevskia alpina;7.32;NA;Reptilia;Vulnerable;VU;threatened
Dinarolacerta mosorensis;11.83;NA;Reptilia;Vulnerable;VU;threatened
Iberolacerta monticola;13.95;NA;Reptilia;Vulnerable;VU;threatened
Phrynocephalus persicus;6.84;NA;Reptilia;Vulnerable;VU;threatened
Podarcis gaigeae;22.86;NA;Reptilia;Vulnerable;VU;threatened
Podarcis milensis;9.78;NA;Reptilia;Vulnerable;VU;threatened
Testudo graeca;4980.95;NA;Reptilia;Vulnerable;VU;threatened
Trionyx triunguis;111953.71;NA;Reptilia;Vulnerable;VU;threatened
Vipera dinniki;112.25;NA;Reptilia;Vulnerable;VU;threatened
Vipera eriwanensis;73.46;NA;Reptilia;Vulnerable;VU;threatened
Vipera latastei;200.37;NA;Reptilia;Vulnerable;VU;threatened
Vipera ursinii;117.87;NA;Reptilia;Vulnerable;VU;threatened
