species;body_size;synonym;class;corrected_status;corrected_code;corrected_agreg_ts
Calcarius lapponicus;27.84;NA;Aves;Least Concern;LC;not_threatened
Calidris alba;51.71;NA;Aves;Least Concern;LC;not_threatened
Calidris alpina;51.89;NA;Aves;Least Concern;LC;not_threatened
Calidris maritima;65.10;NA;Aves;Least Concern;LC;not_threatened
Calidris melanotos;79.73;NA;Aves;Least Concern;LC;not_threatened
Calidris minuta;21.10;NA;Aves;Least Concern;LC;not_threatened
Calidris temminckii;23.00;NA;Aves;Least Concern;LC;not_threatened
Caprimulgus europaeus;67.00;NA;Aves;Least Concern;LC;not_threatened
Carduelis carduelis;16.00;NA;Aves;Least Concern;LC;not_threatened
Carpodacus erythrinus;23.97;NA;Aves;Least Concern;LC;not_threatened
Carpodacus rubicilla;43.20;NA;Aves;Least Concern;LC;not_threatened
Cepphus grylle;378.00;NA;Aves;Least Concern;LC;not_threatened
Certhia brachydactyla;8.20;NA;Aves;Least Concern;LC;not_threatened
Certhia familiaris;9.00;NA;Aves;Least Concern;LC;not_threatened
Ceryle rudis;84.37;NA;Aves;Least Concern;LC;not_threatened
Cettia cetti;13.22;NA;Aves;Least Concern;LC;not_threatened
Charadrius alexandrinus;42.30;NA;Aves;Least Concern;LC;not_threatened
Charadrius asiaticus;77.09;NA;Aves;Least Concern;LC;not_threatened
Charadrius dubius;38.70;NA;Aves;Least Concern;LC;not_threatened
Charadrius hiaticula;64.04;NA;Aves;Least Concern;LC;not_threatened
Charadrius leschenaultii;74.80;NA;Aves;Least Concern;LC;not_threatened
Chlidonias hybrida;83.67;NA;Aves;Least Concern;LC;not_threatened
Chlidonias leucopterus;54.20;NA;Aves;Least Concern;LC;not_threatened
Chlidonias niger;65.30;NA;Aves;Least Concern;LC;not_threatened
Ciconia ciconia;3445.80;NA;Aves;Least Concern;LC;not_threatened
Ciconia nigra;2926.00;NA;Aves;Least Concern;LC;not_threatened
Cinclus cinclus;61.47;NA;Aves;Least Concern;LC;not_threatened
Circaetus gallicus;1699.12;NA;Aves;Least Concern;LC;not_threatened
Circus aeruginosus;704.07;NA;Aves;Least Concern;LC;not_threatened
Circus cyaneus;392.98;NA;Aves;Least Concern;LC;not_threatened
Circus pygargus;310.75;NA;Aves;Least Concern;LC;not_threatened
Cisticola juncidis;6.81;NA;Aves;Least Concern;LC;not_threatened
Clamator glandarius;143.00;NA;Aves;Least Concern;LC;not_threatened
Coccothraustes coccothraustes;56.63;NA;Aves;Least Concern;LC;not_threatened
Columba livia;354.20;NA;Aves;Least Concern;LC;not_threatened
Columba oenas;290.79;NA;Aves;Least Concern;LC;not_threatened
Columba palumbus;490.00;NA;Aves;Least Concern;LC;not_threatened
Coracias garrulus;146.00;NA;Aves;Least Concern;LC;not_threatened
Corvus corax;927.97;NA;Aves;Least Concern;LC;not_threatened
